Project,SOW Pole,OneMap Pole,Match Type,Confidence,Distance (m),Verification Status
"louissep15","LAW.P.E422","LAW.P.E422","numeric_suffix",95%,,
"louissep15","LAW.P.E423","LAW.P.E423","numeric_suffix",95%,,
"louissep15","LAW.P.E424","LAW.P.E424","numeric_suffix",95%,,
"louissep15","LAW.P.E425","LAW.P.E425","numeric_suffix",95%,,
"louissep15","LAW.P.E426","LAW.P.E426","numeric_suffix",95%,,
"louissep15","LAW.P.E427","LAW.P.E427","numeric_suffix",95%,,
"louissep15","LAW.P.E428","LAW.P.E428","numeric_suffix",95%,,
"louissep15","LAW.P.E429","LAW.P.E429","numeric_suffix",95%,,
"louissep15","LAW.P.E431","LAW.P.E431","numeric_suffix",95%,,
"louissep15","LAW.P.E432","LAW.P.E432","numeric_suffix",95%,,
"louissep15","LAW.P.E433","LAW.P.E433","numeric_suffix",95%,,
"louissep15","LAW.P.E434","LAW.P.E434","numeric_suffix",95%,,
"louissep15","LAW.P.E435","LAW.P.E435","numeric_suffix",95%,,
"louissep15","LAW.P.E436","LAW.P.E436","numeric_suffix",95%,,
"louissep15","LAW.P.E437","LAW.P.E437","numeric_suffix",95%,,
"louissep15","LAW.P.E438","LAW.P.E438","numeric_suffix",95%,,
"louissep15","LAW.P.E439","LAW.P.E439","numeric_suffix",95%,,
"louissep15","LAW.P.E440","LAW.P.E440","numeric_suffix",95%,,
"louissep15","LAW.P.E441","LAW.P.E441","numeric_suffix",95%,,
"louissep15","LAW.P.E442","LAW.P.E442","numeric_suffix",95%,,
"louissep15","LAW.P.E443","LAW.P.E443","numeric_suffix",95%,,
"louissep15","LAW.P.E444","LAW.P.E444","numeric_suffix",95%,,
"louissep15","LAW.P.E446","LAW.P.E446","numeric_suffix",95%,,
"louissep15","LAW.P.E447","LAW.P.E447","numeric_suffix",95%,,
"louissep15","LAW.P.E448","LAW.P.E448","numeric_suffix",95%,,
"louissep15","LAW.P.E449","LAW.P.E449","numeric_suffix",95%,,
"louissep15","LAW.P.E450","LAW.P.E450","numeric_suffix",95%,,
"louissep15","LAW.P.E451","LAW.P.E451","numeric_suffix",95%,,
"louissep15","LAW.P.E452","LAW.P.E452","numeric_suffix",95%,,
"louissep15","LAW.P.E453","LAW.P.E453","numeric_suffix",95%,,
"louissep15","LAW.P.E454","LAW.P.E454","numeric_suffix",95%,,
"louissep15","LAW.P.E455","LAW.P.E455","numeric_suffix",95%,,
"louissep15","LAW.P.E456","LAW.P.E456","numeric_suffix",95%,,
"louissep15","LAW.P.E457","LAW.P.E457","numeric_suffix",95%,,
"louissep15","LAW.P.E458","LAW.P.E458","numeric_suffix",95%,,
"louissep15","LAW.P.E459","LAW.P.E459","numeric_suffix",95%,,
"louissep15","LAW.P.E460","LAW.P.E460","numeric_suffix",95%,,
"louissep15","LAW.P.E461","LAW.P.E461","numeric_suffix",95%,,
"louissep15","LAW.P.E462","LAW.P.E462","numeric_suffix",95%,,
"louissep15","LAW.P.E463","LAW.P.E463","numeric_suffix",95%,,
"louissep15","LAW.P.E464","LAW.P.E464","numeric_suffix",95%,,
"louissep15","LAW.P.E465","LAW.P.E465","numeric_suffix",95%,,
"louissep15","LAW.P.E466","LAW.P.E466","numeric_suffix",95%,,
"louissep15","LAW.P.E467","LAW.P.E467","numeric_suffix",95%,,
"louissep15","LAW.P.E468","LAW.P.E468","numeric_suffix",95%,,
"louissep15","LAW.P.E469","LAW.P.E469","numeric_suffix",95%,,
"louissep15","LAW.P.E470","LAW.P.E470","numeric_suffix",95%,,
"louissep15","LAW.P.E471","LAW.P.E471","numeric_suffix",95%,,
"louissep15","LAW.P.E472","LAW.P.E472","numeric_suffix",95%,,
"louissep15","LAW.P.E473","LAW.P.E473","numeric_suffix",95%,,
"louissep15","LAW.P.E474","LAW.P.E474","numeric_suffix",95%,,
"louissep15","LAW.P.E475","LAW.P.E475","numeric_suffix",95%,,
